Strain Name,Type,Rating,Rating Users,Left Parent,Right parent,Left Child,Right Child,Feeling_1,Feeling_2,Feeling_3,Feeling_4,Feeling_5,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Helps with_1,Helps with_2,Helps with_3,Helps with_4,Helps with_5,THC,CBD,CBG
Gammaberry,Hybrid,5.0,1,Bruce Banner,N/A,,,Relaxed,Happy,Giggly,Focused,Euphoric,Dry,Dry,,,,Eye,Insomnia,Lack,Pain,Stress,19%,,1%
Royal Dwarf,Hybrid,4.5,17,Skunk 1,N/A,,,Happy,Relaxed,Hungry,Tingly,Giggly,Dry,Dry,,,,Stress,Depression,Pain,Migraines,Eye,,,
Lemon Ice Pucker,Hybrid,,,,,,,,,,,,,,,,,,,,,,21%,,1%
Pink Rozay,Indica,4.8,15,,,,,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Depression,Stress,Anxiety,Lack,Pain,,,,,,24%,,1%
Chem Berry Diesel,Hybrid,5.0,3,,,,,Relaxed,Happy,Uplifted,Giggly,Focused,Dry,,,,,Depression,Insomnia,Pain,Stress,Anxiety,,,
Primus,Indica,4.7,111,Trainwreck,303 Kush,,,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dry,Anxious,Dizzy,Paranoid,Anxiety,Pain,Stress,ADD,Depression,18%,,1%
Grape Bubba,Hybrid,4.9,7,Bubba Kush,Purple Urkle,,,Relaxed,Happy,Tingly,Talkative,Hungry,Depression,Headaches,,,,,,,,,16%,—,
Charlie Sheen,Hybrid,4.5,168,Blue Dream,OG Kush,,,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dry,Dizzy,Anxious,Paranoid,Stress,Pain,Depression,Anxiety,Headaches,17%,—,
California Sour Diesel,Hybrid,4.2,5,Headband,N/A,,,Uplifted,Relaxed,Focused,Creative,Talkative,Dry,,,,,Depression,Inflammation,Anxiety,Fatigue,Lack,16%,,1%
Full Metal Jacket,Hybrid,4.0,1,Face Off OG,Grandpa’s Breath,,,,,,,,,,,,,,,,,,26%,,1%
Apple Jack,Hybrid,4.2,108,Jack Herer,White Widow,,,Happy,Uplifted,Relaxed,Focused,Euphoric,Dry,Anxious,Dry,Paranoid,Dizzy,Depression,Stress,Pain,Anxiety,Fatigue,18%,,1%
Pepe Le Dank,Hybrid,5.0,1,,,,,,,,,,,,,,,,,,,,,,
White Skunk,Hybrid,4.4,40,Skunk 1,N/A,,,Relaxed,Happy,Euphoric,Uplifted,Focused,Dry,Dry,Dizzy,Headache,Anxious,Stress,Insomnia,Pain,Anxiety,Depression,19%,,1%
Strawberry Trainwreck,,,,,,,,,,,,,,,,,,,,,,,14%,—,
Princess,Sativa,5.0,5,Jack Herer,N/A,,,Euphoric,Relaxed,Uplifted,Tingly,Sleepy,Dry,Paranoid,,,,Depression,Nausea,ADD,Anxiety,,14%,,1%
NYC Flo,,4.5,4,,,,,Uplifted,Talkative,Happy,Relaxed,Hungry,Dry,,,,,Lack,Anxiety,PTSD,,,,,
Kaboom,Sativa,4.3,70,Jack's Cleaner,Vortex,,,Uplifted,Energetic,Happy,Euphoric,Creative,Dry,Dry,Paranoid,Anxious,Dizzy,Stress,Pain,Anxiety,Depression,Migraines,15%,,1%
Hollywood OG,Hybrid,4.3,55,,,,,Relaxed,Uplifted,Happy,Focused,Euphoric,Dry,Headache,Anxious,Dry,Dizzy,Stress,Pain,Depression,Insomnia,Nausea,17%,—,
Klingon,,,,,,,,,,,,,,,,,,,,,,,,,
Wedding Punch,,4.5,2,,,,,Uplifted,Talkative,Relaxed,Happy,Giggly,,,,,,,,,,,21%,,1%
Orange Dream,Hybrid,4.2,91,Blue Dream,Orange Crush,,,Happy,Uplifted,Relaxed,Euphoric,Energetic,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Depression,Pain,Anxiety,Fatigue,17%,—,
Strawberry Sorbet,Hybrid,4.8,4,,,,,Relaxed,Happy,Euphoric,Uplifted,Tingly,Dry,Dry,,,,Muscle,Pain,Stress,Depression,Headaches,19%,,1%
Purple Pineapple Express,Hybrid,4.5,10,,,,,Relaxed,Hungry,Happy,Sleepy,Euphoric,Headache,Dizzy,Dry,Dry,,Depression,Anxiety,Lack,Nausea,Pain,20%,—,
Sour Space Candy,Hybrid,4.8,37,Sour Tsunami,N/A,,,Relaxed,Uplifted,Happy,Hungry,Focused,Dry,Dry,Dizzy,,,Anxiety,Stress,Inflammation,Insomnia,Pain,1%,15%,
Godfather Purple Kush,Indica,4.4,22,Purple Kush,Afghani,,,Relaxed,Happy,Euphoric,Tingly,Sleepy,Dizzy,Dry,Dry,Headache,Paranoid,Pain,Stress,Anxiety,Headaches,ADD,,,
Nordle,Indica,4.0,79,Afghani,N/A,,,Relaxed,Happy,Uplifted,Sleepy,Focused,Dry,Anxious,Dizzy,Dry,Paranoid,Stress,Pain,Anxiety,Depression,Inflammation,6%,10%,
Strawberry Smiggles,,4.0,1,,,,,Relaxed,Happy,Euphoric,,,Pain,Stress,Anxiety,,,,,,,,7%,13%,
OG Dragonfly,,4.5,2,,,,,Relaxed,Happy,Euphoric,Sleepy,Aroused,,,,,,,,,,,16%,—,
Gandalf OG,Indica,4.5,21,King Louis,Mazar x Blueberry OG,,,Relaxed,Happy,Sleepy,Euphoric,Uplifted,Dry,Dry,,,,Inflammation,Anxiety,Eye,Insomnia,Muscle,19%,—,
Sweet Dreams,Hybrid,4.2,49,,,,,Sleepy,Relaxed,Hungry,Happy,Giggly,Dry,Dry,Anxious,Dizzy,,Stress,Insomnia,Lack,Pain,Anxiety,,,
Strawberry Gum,Hybrid,,,Bubble Gum,Strawberry,,,,,,,,,,,,,,,,,,,,
Midnight,Hybrid,4.4,101,,,,,Relaxed,Happy,Uplifted,Euphoric,Focused,Dry,Dry,Dizzy,Anxious,Paranoid,Pain,Stress,Anxiety,Depression,Inflammation,7%,10%,
Cheesewreck,Hybrid,4.4,82,Trainwreck,Cheese,,,Euphoric,Relaxed,Happy,Uplifted,Sleepy,Dry,Dry,Paranoid,Anxious,Dizzy,Anxiety,Insomnia,Stress,Pain,Depression,17%,—,
Anesia Scout Cookies,Hybrid,,,GSC,N/A,,,,,,,,,,,,,,,,,,16%,,1%
Frisian Duck,Hybrid,4.5,17,Frisian Dew,N/A,,,Happy,Euphoric,Relaxed,Hungry,Uplifted,Dry,Dry,Dizzy,Headache,,Lack,Fatigue,Headaches,Pain,Stress,,,
Sour Chocolate,Sativa,3.9,10,,,,,Uplifted,Happy,Creative,Talkative,Sleepy,Dry,Dry,Headache,Dizzy,,Insomnia,Stress,Fatigue,Nausea,Pain,,,
818 OG,Indica,4.7,38,OG Kush,N/A,,,Relaxed,Happy,Sleepy,Uplifted,Giggly,Dry,Dry,,,,Depression,Insomnia,Anxiety,Pain,Headaches,,,
Green Crack,Sativa,4.3,6550,Skunk 1,N/A,Incredible Hulk,God's Green Crack,Energetic,Happy,Uplifted,Euphoric,Focused,Dry,Dry,Paranoid,Anxious,Dizzy,Stress,Depression,Anxiety,Pain,Fatigue,17%,,1%
Ice Kush,Hybrid,5.0,2,,,,,,,,,,,,,,,,,,,,22%,,1%
Sunset Blue,,,,,,,,,,,,,,,,,,,,,,,,,
Sour Papaya,Hybrid,4.1,8,,,,,Relaxed,Happy,Hungry,Focused,Uplifted,Pain,Insomnia,Anxiety,Bipolar,PTSD,,,,,,,,
Grape Lime Ricky,Hybrid,3.7,7,Purple Urkle,Jack the Ripper,,,Relaxed,Uplifted,Tingly,Sleepy,Happy,Anxious,Headache,,,,,,,,,14%,,1%
Sundae Supreme #9,Hybrid,4.5,2,,,,,,,,,,,,,,,,,,,,18%,,1%
Dank Dough,Hybrid,4.4,5,,,,,Relaxed,Uplifted,Tingly,Talkative,Hungry,Anxious,,,,,,,,,,20%,,1%
Georgia Peach,,5.0,3,,,,,,,,,,,,,,,,,,,,,,
Cherry Garcia,Hybrid,4.6,25,,,,,Happy,Relaxed,Uplifted,Euphoric,Hungry,Dry,,,,,Depression,Stress,Pain,Anxiety,Insomnia,,,
Jedi Kush,Indica,4.5,326,Death Star,SFV OG Kush,Galactica OG,Master Jedi,Relaxed,Euphoric,Happy,Sleepy,Uplifted,Dry,Dry,Dizzy,Headache,Paranoid,Stress,Pain,Anxiety,Depression,Insomnia,18%,,1%
Master Yoda,Hybrid,4.5,178,OG Kush,Master Kush,,,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dry,Dizzy,Paranoid,Anxious,Stress,Pain,Anxiety,Insomnia,Depression,15%,,
Chocolate Trip,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Skunk,Sativa,4.5,11,Skunk 1,Chocolope,,,Happy,Focused,Uplifted,Giggly,Energetic,Dry,,,,,Stress,Anxiety,Depression,Fatigue,Lack,,,
Chile Verde,,2.7,3,,,,,,,,,,,,,,,,,,,,,,
Blackberry Moonrocks,Hybrid,5.0,1,Blackberry Kush,Blue Moon Rocks,,,,,,,,,,,,,,,,,,23%,,1%
Double Stuffed Sorbet,Hybrid,4.8,6,Do-Si-Dos,N/A,,,Relaxed,Euphoric,Happy,Giggly,Uplifted,Dizzy,,,,,Cramps,Depression,Eye,Fatigue,Headaches,,,
Gelateria,Hybrid,,,,,,,,,,,,,,,,,,,,,,19%,—,
Air Jordan OG,Indica,4.8,9,,,,,Relaxed,Happy,Euphoric,Tingly,Sleepy,Dry,Dizzy,Dry,Headache,,Stress,PTSD,Depression,Insomnia,Pain,,,
Cackleberry,Hybrid,4.6,19,Stardawg,Cherry OG,,,Happy,Uplifted,Talkative,Relaxed,Euphoric,Dry,Dry,Dizzy,,,Depression,Anxiety,Stress,Fatigue,Pain,,,
Blue Crack,Hybrid,4.1,151,Blue Dream,Green Crack,,,Euphoric,Happy,Uplifted,Relaxed,Focused,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Anxiety,Pain,Depression,Fatigue,17%,—,
Boom Boom,Hybrid,,,Sour Diesel,Pink 2.0,,,,,,,,,,,,,,,,,,22%,,1%
Memory Crasher,,,,,,,,,,,,,,,,,,,,,,,,,
La Reina de Africa,Sativa,4.3,3,AK-47,Afghani,,,Sleepy,Relaxed,Happy,Giggly,Uplifted,Dry,,,,,Depression,Lack,Stress,Fatigue,Inflammation,,,
Spumoni,Hybrid,5.0,6,Sherbert,Do-Si-Dos,,,Sleepy,Relaxed,Happy,Uplifted,Tingly,Pain,Stress,Depression,Eye,Insomnia,,,,,,23%,—,
Tenderheart,Hybrid,,,Cannatonic,N/A,,,,,,,,,,,,,,,,,,,,
Devil,Hybrid,5.0,1,,,,,Tingly,Relaxed,Euphoric,Aroused,,,,,,,,,,,,,,
Cherry Pie,Hybrid,4.3,1933,Granddaddy Purple,Durban Poison,Wedding Cake,Birthday Cake,Relaxed,Happy,Euphoric,Uplifted,Creative,Dry,Dry,Dizzy,Paranoid,Anxious,Stress,Depression,Anxiety,Pain,Insomnia,16%,,1%
Georgia Pie,Hybrid,4.7,26,,,,,Relaxed,Uplifted,Happy,Creative,Euphoric,Anxious,Dry,,,,Depression,Pain,Stress,Anxiety,Headaches,21%,—,
Blood Orange Kush,Indica,4.5,34,,,,,Happy,Uplifted,Relaxed,Euphoric,Tingly,Dry,Dry,Headache,Anxious,Dizzy,Depression,Pain,Stress,Headaches,Inflammation,19%,,1%
Black '84,Indica,4.5,34,,,,,Relaxed,Sleepy,Happy,Euphoric,Tingly,Dry,Dizzy,Dry,,,Insomnia,Pain,Stress,Anxiety,Depression,18%,,1%
Cookie Ox,,,,,,,,,,,,,,,,,,,,,,,,,
Unplug,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Mountain,Hybrid,4.7,15,,,,,Focused,Uplifted,Happy,Talkative,Euphoric,Anxious,Dry,Dry,,,Depression,Anxiety,Stress,Lack,ADD,20%,,2%
Skunk Chem,,,,,,,,,,,,,,,,,,,,,,,21%,,1%
Blue Kush,Hybrid,4.5,101,OG Kush,Blueberry,,,Relaxed,Happy,Uplifted,Euphoric,Creative,Dry,Dry,Anxious,Dizzy,Paranoid,Stress,Depression,Pain,Nausea,Fatigue,16%,,1%
Willie Berrie,Hybrid,5.0,2,Willy's Wonder,N/A,,,Uplifted,Relaxed,Happy,Euphoric,Creative,,,,,,,,,,,13%,—,
Cinderella's Dream,Hybrid,4.4,102,Blue Dream,Cinex,,,Uplifted,Happy,Euphoric,Energetic,Relaxed,Dry,Dry,Dizzy,Anxious,,Depression,Stress,Anxiety,Lack,Fatigue,18%,—,
Quantum Kush,Sativa,4.6,251,Timewreck,N/A,Brian Berry Honey Lemon,Dr. Quantum,Happy,Uplifted,Euphoric,Relaxed,Energetic,Dry,Dry,Dizzy,Headache,Anxious,Depression,Stress,Anxiety,Pain,Fatigue,19%,,1%
Viper,Sativa,4.4,55,Mexican,South Asian Indica,,,Happy,Energetic,Uplifted,Creative,Talkative,Dry,Dizzy,Anxious,Dry,Headache,Depression,Stress,Fatigue,Pain,Headaches,21%,,1%
Pear,,,,,,,,,,,,,,,,,,,,,,,18%,,1%
Mandarin Glue,Hybrid,,,,,,,,,,,,,,,,,,,,,,13%,—,
Tachllta Till,Hybrid,3.7,3,Skunk 1,Sharksbreath,,,Sleepy,Relaxed,Hungry,Happy,,Dry,,,,,,,,,,,,
Atmosphere,Hybrid,4.8,18,OG Kush,White Widow,,,Euphoric,Uplifted,Relaxed,Happy,Tingly,Anxious,Dry,Dry,,,Stress,Depression,Lack,Anxiety,Fatigue,,,
Sweet Tea,Hybrid,4.8,4,,,,,,,,,,,,,,,,,,,,25%,,1%
Raskal Berries,Hybrid,,,,,,,,,,,,,,,,,,,,,,19%,,1%
Purple Gorilla,Hybrid,4.3,162,,,,,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dry,Dizzy,Headache,Paranoid,Stress,Anxiety,Pain,Depression,Insomnia,18%,—,
Sour Power OG,Hybrid,4.2,15,Biker Kush,Sour Power,,,Relaxed,Uplifted,Tingly,Sleepy,Happy,Dry,Dry,Anxious,Paranoid,,Insomnia,Stress,Muscle,Pain,Arthritis,20%,,1%
Glazed N Confused,Hybrid,5.0,4,,,,,Relaxed,Euphoric,Sleepy,Hungry,Happy,Dry,,,,,,,,,,,,
Dementia,,,,,,,,,,,,,,,,,,,,,,,,,
Jungle Punch #8,,4.5,4,,,,,Relaxed,Euphoric,Happy,Creative,Uplifted,Dry,,,,,,,,,,,,
Early Girl,Indica,3.7,72,Afghani,Mexican,,,Relaxed,Euphoric,Happy,Hungry,Giggly,Dry,Dry,Paranoid,Dizzy,Anxious,Pain,Stress,Anxiety,Depression,Insomnia,21%,,1%
BC Sweet Tooth,Indica,4.1,30,Sweet Tooth,N/A,,,Uplifted,Happy,Sleepy,Relaxed,Creative,Dry,Dry,Headache,Paranoid,Dizzy,Insomnia,Stress,Depression,Nausea,Anxiety,16%,,1%
Killer Queen,Hybrid,4.3,140,G13,Cinderella 99,Kryptonite,Kill Bill,Euphoric,Happy,Uplifted,Creative,Relaxed,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Pain,Anxiety,Depression,Fatigue,18%,,1%
Garlic Breath,Hybrid,4.6,14,Mendo Breath,N/A,,,Sleepy,Relaxed,Happy,Euphoric,,Dry,,,,,Pain,Eye,Insomnia,Stress,Anxiety,24%,,1%
Purple Killer,Indica,4.6,22,Purple Kush,Purple Urkle,,,Relaxed,Hungry,Sleepy,Happy,Euphoric,Dry,Dizzy,,,,Stress,Insomnia,Lack,Pain,Depression,18%,—,
Harry Potter,Hybrid,4.8,22,Blissful Wizard,Fire Alien Kush,,,Relaxed,Uplifted,Happy,Creative,Euphoric,Dry,Dry,Headache,,,Muscle,Pain,Stress,Inflammation,Anxiety,,,
Pineberry,Hybrid,4.7,7,Ringo's Gift,N/A,,,Relaxed,Focused,Uplifted,Euphoric,Tingly,Dizzy,Dry,,,,Stress,Pain,Depression,Fatigue,Headaches,18%,—,
Bubba Tom Hayes,Hybrid,4.8,9,Haze,Pre-98 Bubba Kush,,,Happy,Euphoric,Uplifted,Relaxed,Creative,Dry,,,,,Depression,Stress,Fatigue,,,,,
Ol' Betsy,Hybrid,3.7,3,,,,,Relaxed,Focused,Euphoric,Hungry,Energetic,Lack,Stress,ADD,Crohn,Glaucoma,,,,,,17%,—,
Recon Gelato,,,,,,,,,,,,,,,,,,,,,,,,,
Green Marvel,,,,,,,,,,,,,,,,,,,,,,,18%,,2%
Cherry Limeade,Hybrid,4.2,52,,,,,Happy,Relaxed,Uplifted,Euphoric,Focused,Dry,Dry,Headache,,,Depression,Stress,Lack,Nausea,Pain,19%,,1%
Cherry Dooku,,5.0,1,,,,,Uplifted,Tingly,Relaxed,Happy,Giggly,,,,,,,,,,,,,
Ultra Sonja,Hybrid,4.4,27,UK Cheese,N/A,,,Happy,Relaxed,Focused,Euphoric,Uplifted,Dry,Dry,Dizzy,Headache,,Pain,Stress,ADD,Depression,Insomnia,,,
Nepalese Jam,Hybrid,4.3,6,Jamaican,Nepalese,,,Uplifted,Relaxed,Creative,Hungry,Happy,Dry,,,,,Anxiety,Gastrointestinal,,,,20%,,1%
White Diesel,Hybrid,4.1,62,White Widow,NYC Diesel,,,Relaxed,Uplifted,Euphoric,Focused,Creative,Dry,Dry,Dizzy,Anxious,Headache,Stress,Anxiety,Pain,Depression,Lack,18%,—,
Citrus Anytime,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Corazon,,,,,,,,,,,,,,,,,,,,,,,21%,,1%
Snowman,Hybrid,4.5,17,GSC,N/A,,,Relaxed,Hungry,Happy,Focused,Sleepy,Dry,,,,,Pain,Anxiety,,,,21%,—,
Jamaican Gelato,,,,,,,,,,,,,,,,,,,,,,,,,
Pokie,Indica,3.5,15,,,,,Relaxed,Happy,Euphoric,Uplifted,Tingly,Dizzy,Dry,Anxious,Paranoid,Dry,Headaches,Cramps,Depression,Fatigue,Nausea,,,
Daphne,Hybrid,4.5,2,Purple Punch,UW Purple,,,Relaxed,Euphoric,,,,Insomnia,Nausea,Pain,,,,,,,,,,
Ninja Fruit,Hybrid,4.5,50,Grape Ape,Grapefruit Haze,,,Happy,Uplifted,Relaxed,Euphoric,Energetic,Dry,Dry,,,,Stress,Depression,Anxiety,PTSD,Fatigue,18%,—,
Purple Mr. Nice Guy,Indica,4.1,154,Granddaddy Purple,Mr. Nice Guy,,,Sleepy,Relaxed,Happy,Euphoric,Uplifted,Dry,Dry,Dizzy,Headache,Paranoid,Pain,Insomnia,Stress,Anxiety,Depression,13%,—,
Purple Terpenes,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Blush,Hybrid,5.0,3,,,,,Talkative,Relaxed,Happy,Creative,Uplifted,Anxious,Dry,Dry,Paranoid,,Depression,Eye,Fatigue,Lack,Muscle,13%,—,
Purple Hashplant,Hybrid,4.4,30,,,,,Sleepy,Euphoric,Relaxed,Happy,Hungry,Dry,Dry,Headache,,,Insomnia,Stress,Anxiety,Depression,Lack,,,
Copper Kush,Indica,4.2,10,Lemon OG,Frankenstein,,,Relaxed,Euphoric,Uplifted,Happy,Tingly,Dizzy,,,,,Cramps,Depression,Fatigue,Headaches,Insomnia,,,
Venom OG,Hybrid,4.4,257,,,,,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Dry,Dry,Dizzy,Headache,Anxious,Stress,Anxiety,Pain,Insomnia,Depression,20%,,1%
Melonata,,,,,,,,,,,,,,,,,,,,,,,,,
Cactus,Indica,4.6,114,Northern Lights,Afghani,,,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dry,Paranoid,Dizzy,Anxious,Pain,Stress,Depression,Insomnia,Anxiety,21%,1%,
SleeSkunk,Sativa,4.3,13,Skunk 1,SleeStack,,,Euphoric,Uplifted,Energetic,Creative,Tingly,Dry,Dry,Paranoid,,,Nausea,Stress,Depression,Fatigue,Headaches,,,
Bond Road Kush,,,,,,,,,,,,,,,,,,,,,,,17%,—,
Lemon Bananas,Hybrid,4.7,12,,,,,Uplifted,Happy,Creative,Relaxed,Energetic,Dry,,,,,Depression,Stress,ADD,Anxiety,Fatigue,,,
Citrus Freak Show,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Orange Velvet,Hybrid,4.3,68,Skunk 1,N/A,Jillybean,Agent Orange,Uplifted,Happy,Relaxed,Euphoric,Hungry,Dry,Anxious,Dry,Paranoid,Dizzy,Stress,Depression,Anxiety,Pain,Headaches,19%,,1%
Mac 1,Hybrid,4.7,115,Alien Cookies,N/A,,,Euphoric,Happy,Uplifted,Relaxed,Energetic,Dry,Dizzy,Dry,Anxious,Paranoid,Anxiety,Depression,Stress,Pain,Fatigue,20%,,1%
Skydog,Indica,4.5,26,,,,,Relaxed,Happy,Uplifted,Focused,Euphoric,Dry,Dry,Dizzy,,,Anxiety,Stress,Pain,Depression,Inflammation,,,
DG Cookies,Hybrid,4.5,2,,,,,Relaxed,Hungry,,,,Dizzy,,,,,Headaches,Stress,,,,20%,—,
Jack's Dream,Hybrid,4.3,23,Blue Dream,Jack Herer,,,Focused,Uplifted,Energetic,Creative,Talkative,Dry,Paranoid,Anxious,Dizzy,Dry,Depression,Fatigue,Pain,Stress,Anxiety,18%,—,
Sour Breath,Sativa,4.2,21,Sour Diesel,Lamb's Bread,,,Happy,Focused,Creative,Uplifted,Energetic,Dry,Dry,Anxious,Paranoid,,Stress,Depression,Cramps,Eye,ADD,22%,,1%
Fruit Loops,Hybrid,4.5,99,Blue Dream,White Widow,,,Relaxed,Happy,Uplifted,Euphoric,Hungry,Dry,Dry,Anxious,Dizzy,Headache,Stress,Anxiety,Depression,Fatigue,Migraines,18%,,1%
Apple Kush,Hybrid,4.5,47,Sour Diesel,Pure Kush,,,Relaxed,Euphoric,Happy,Tingly,Sleepy,Dry,Dry,Dizzy,Headache,,Stress,Depression,Insomnia,Pain,Anxiety,20%,,1%
El Chapo OG,Indica,4.7,73,,,,,Relaxed,Happy,Sleepy,Euphoric,Uplifted,Dry,Dry,Dizzy,Headache,Anxious,Stress,Pain,Anxiety,Insomnia,Depression,,,
Sour Power,Hybrid,4.5,54,ECSD,StarBud,,,Happy,Uplifted,Relaxed,Talkative,Euphoric,Dry,Dry,Anxious,Paranoid,Dizzy,Depression,Stress,Anxiety,Fatigue,Lack,23%,—,
Madcow,Sativa,3.4,8,Durban Poison,Purple Cow,,,Uplifted,Energetic,Sleepy,Relaxed,Talkative,Dry,Anxious,,,,Insomnia,Lack,Stress,,,,,
Ultra Sour Chem OG,Hybrid,5.0,1,,,,,,,,,,,,,,,,,,,,,,
Orange Wreck,Sativa,4.1,13,,,,,Happy,Creative,Euphoric,Uplifted,Relaxed,Dry,Dry,Headache,,,Stress,Depression,Fatigue,Muscle,Anxiety,,,
Tangie Ghost Train,Sativa,4.7,9,Tangie,Ghost Train Haze,,,Uplifted,Happy,Energetic,Focused,Euphoric,Dry,Anxious,Dry,Paranoid,,Stress,Depression,Fatigue,Lack,ADD,17%,,1%
Twizzler,Hybrid,,,,,,,,,,,,,,,,,,,,,,19%,,1%
Kandahar Afghan,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Kush Mint Cookies,,5.0,2,,,,,,,,,,,,,,,,,,,,16%,—,
BC Big Bud,Hybrid,4.4,77,Big Bud,N/A,Big Mac,Sojay Haze,Relaxed,Happy,Euphoric,Uplifted,Creative,Dry,Dry,Dizzy,Paranoid,Anxious,Stress,Pain,Depression,Lack,Anxiety,14%,,1%
Whitaker Blues,Indica,4.2,13,Blueberry,N/A,,,Relaxed,Happy,Sleepy,Uplifted,Hungry,Insomnia,Stress,Anxiety,Migraines,Depression,,,,,,17%,,1%
Grateful Grape,Hybrid,4.0,1,Sour Grapes,N/A,,,Uplifted,Tingly,Focused,Energetic,Creative,Depression,Fatigue,,,,,,,,,25%,,1%
MediHaze,Sativa,4.5,144,Super Silver Haze,Neville's Haze,,,Relaxed,Happy,Uplifted,Focused,Energetic,Dry,Dry,Headache,Anxious,Paranoid,Stress,Pain,Anxiety,Depression,Inflammation,5%,9%,
Sourlope,Sativa,4.6,28,NYC Diesel,Cannalope Haze,,,Happy,Uplifted,Focused,Energetic,Relaxed,Dry,Paranoid,Dizzy,Dry,Anxious,Stress,Depression,Fatigue,Pain,Headaches,22%,—,
Outlaw,Sativa,4.6,21,Haze,Amnesia,,,Uplifted,Relaxed,Euphoric,Happy,Focused,Dry,Dry,,,,Depression,Stress,Pain,Anxiety,Fatigue,,,
Nana’s Fix,Hybrid,4.7,7,Grandma’s Sugar Cookies,N/A,,,Relaxed,Happy,Uplifted,Tingly,Talkative,Dry,Dizzy,Dry,,,Anxiety,Cramps,Depression,Fatigue,Headaches,16%,,2%
Monster Glue,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Fireball,Hybrid,5.0,1,,,,,,,,,,,,,,,,,,,,,,
Future #1,Hybrid,5.0,6,GG4,Starfighter,,,Relaxed,Focused,Euphoric,Uplifted,Happy,Depression,Stress,Anxiety,Fatigue,Lack,,,,,,28%,,1%
Berry Snow Cone,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Gamma Jack,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Superstar Punani,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
South Asian Sativa,Sativa,5.0,3,,,,,Happy,Giggly,Euphoric,Energetic,Talkative,Bipolar,Multiple,PTSD,,,,,,,,,,
Mango Haze,Sativa,4.5,293,Haze,Skunk 1,DelaHaze,CBD Mango Haze,Happy,Uplifted,Relaxed,Euphoric,Energetic,Dry,Dry,Dizzy,Anxious,Headache,Stress,Depression,Pain,Anxiety,Fatigue,18%,,1%
Blue Power,Indica,4.5,55,Master Kush,The White,SinMint Cookies,Tangerine Power,Relaxed,Euphoric,Happy,Uplifted,Creative,Dry,Dry,Headache,Paranoid,,Stress,Depression,Pain,Insomnia,Anxiety,15%,—,
Hibiscus Sunrise,Hybrid,4.5,32,,,,,Relaxed,Euphoric,Uplifted,Happy,Energetic,Dry,Anxious,,,,Anxiety,Depression,Pain,Arthritis,Insomnia,17%,,2%
Holy Moly,Hybrid,5.0,1,,,,,,,,,,,,,,,,,,,,15%,,1%
Wonder Kid,Indica,4.8,5,The White,Pre-98 Bubba Kush,,,Euphoric,Relaxed,Happy,Uplifted,Tingly,Paranoid,,,,,Headaches,Muscle,Anxiety,Depression,Insomnia,16%,—,
Miss Columbian,Hybrid,,,,,,,,,,,,,,,,,,,,,,17%,,1%
Nitro Cookies,Hybrid,4.3,4,,,,,Relaxed,Uplifted,Happy,Focused,Euphoric,Fatigue,Pain,Anxiety,,,,,,,,18%,,1%
Kerala,Sativa,4.7,3,,,,,Focused,Creative,Sleepy,Relaxed,Hungry,ADD,Anxiety,,,,,,,,,,,
Lemon Zkittle,Hybrid,4.5,2,,,,,,,,,,,,,,,,,,,,20%,,1%
Cheetah Piss,Hybrid,4.7,50,Gelato,Pound Cake,,,Relaxed,Euphoric,Uplifted,Happy,Creative,Dry,Dry,Anxious,Dizzy,Headache,Anxiety,Stress,Depression,Pain,Fatigue,20%,,1%
Cookie Jar,Hybrid,4.7,15,Platinum Cookies,White Fire Alien OG,,,Relaxed,Euphoric,Sleepy,Happy,Uplifted,Dry,Dizzy,Dry,Headache,,Headaches,Anxiety,Depression,ADD,PTSD,19%,,1%
Voodoo,Sativa,4.2,75,Thai,N/A,,,Happy,Uplifted,Euphoric,Energetic,Focused,Dry,Dry,Paranoid,Anxious,Dizzy,Anxiety,Depression,Stress,Pain,Fatigue,19%,,1%
Orangeade,Hybrid,3.8,16,,,,,Relaxed,Happy,Euphoric,Creative,Uplifted,Anxious,Dry,Dry,Paranoid,,Depression,Fatigue,Insomnia,Pain,Stress,16%,,1%
